"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"A";"A";"AGRICULTURE, FORESTRY AND FISHING";""
2;"A01";"A 01";"Crop and animal production, hunting and related service activities";""
3;"A011";"A 01.1";"Growing of non-perennial crops";""
4;"A0111";"A 01.11";"Growing of cereals, other than rice, leguminous crops and oil seeds";""
4;"A0112";"A 01.12";"Growing of rice";""
4;"A0113";"A 01.13";"Growing of vegetables and melons, roots and tubers";""
4;"A0114";"A 01.14";"Growing of sugar cane";""
4;"A0115";"A 01.15";"Growing of tobacco";""
4;"A0116";"A 01.16";"Growing of fibre crops";""
4;"A0119";"A 01.19";"Growing of other non-perennial crops";""
3;"A012";"A 01.2";"Growing of perennial crops";""
4;"A0121";"A 01.21";"Growing of grapes";""
4;"A0122";"A 01.22";"Growing of tropical and subtropical fruits";""
4;"A0123";"A 01.23";"Growing of citrus fruits";""
4;"A0124";"A 01.24";"Growing of pome fruits and stone fruits";""
4;"A0125";"A 01.25";"Growing of other tree and bush fruits and nuts";""
4;"A0126";"A 01.26";"Growing of oleaginous fruits";""
4;"A0127";"A 01.27";"Growing of beverage crops";""
4;"A0128";"A 01.28";"Growing of spices, aromatic, drug and pharmaceutical crops";""
4;"A0129";"A 01.29";"Growing of other perennial crops";""
3;"A013";"A 01.3";"Plant propagation";""
4;"A0130";"A 01.30";"Plant propagation";""
3;"A014";"A 01.4";"Animal production";""
4;"A0141";"A 01.41";"Raising of dairy cattle";""
4;"A0142";"A 01.42";"Raising of other cattle and buffaloes";""
4;"A0143";"A 01.43";"Raising of horses and other equines";""
4;"A0144";"A 01.44";"Raising of camels and camelids";""
4;"A0145";"A 01.45";"Raising of sheep and goats";""
4;"A0146";"A 01.46";"Raising of swine and pigs";""
4;"A0147";"A 01.47";"Raising of poultry";""
4;"A0148";"A 01.48";"Raising of other animals";""
3;"A015";"A 01.5";"Mixed farming";""
4;"A0150";"A 01.50";"Mixed farming";""
3;"A016";"A 01.6";"Support activities to agriculture and post-harvest crop activities";""
4;"A0161";"A 01.61";"Support activities for crop production";""
4;"A0162";"A 01.62";"Support activities for animal production";""
4;"A0163";"A 01.63";"Post-harvest crop activities and seed processing for propagation";""
3;"A017";"A 01.7";"Hunting, trapping and related service activities";""
4;"A0170";"A 01.70";"Hunting, trapping and related service activities";""
2;"A02";"A 02";"Forestry and logging";""
3;"A021";"A 02.1";"Silviculture and other forestry activities";""
4;"A0210";"A 02.10";"Silviculture and other forestry activities";""
3;"A022";"A 02.2";"Logging";""
4;"A0220";"A 02.20";"Logging";""
3;"A023";"A 02.3";"Gathering of wild growing non-wood products";""
4;"A0230";"A 02.30";"Gathering of wild growing non-wood products";""
3;"A024";"A 02.4";"Support services to forestry";""
4;"A0240";"A 02.40";"Support services to forestry";""
2;"A03";"A 03";"Fishing and aquaculture";""
3;"A031";"A 03.1";"Fishing";""
4;"A0311";"A 03.11";"Marine fishing";""
4;"A0312";"A 03.12";"Freshwater fishing";""
3;"A032";"A 03.2";"Aquaculture";""
4;"A0321";"A 03.21";"Marine aquaculture";""
4;"A0322";"A 03.22";"Freshwater aquaculture";""
3;"A033";"A 03.3";"Support activities for fishing and aquaculture";""
4;"A0330";"A 03.30";"Support activities for fishing and aquaculture";""
1;"B";"B";"MINING AND QUARRYING";""
2;"B05";"B 05";"Mining of coal and lignite";""
3;"B051";"B 05.1";"Mining of hard coal";""
4;"B0510";"B 05.10";"Mining of hard coal";""
3;"B052";"B 05.2";"Mining of lignite";""
4;"B0520";"B 05.20";"Mining of lignite";""
2;"B06";"B 06";"Extraction of crude petroleum and natural gas";""
3;"B061";"B 06.1";"Extraction of crude petroleum";""
4;"B0610";"B 06.10";"Extraction of crude petroleum";""
3;"B062";"B 06.2";"Extraction of natural gas";""
4;"B0620";"B 06.20";"Extraction of natural gas";""
2;"B07";"B 07";"Mining of metal ores";""
3;"B071";"B 07.1";"Mining of iron ores";""
4;"B0710";"B 07.10";"Mining of iron ores";""
3;"B072";"B 07.2";"Mining of non-ferrous metal ores";""
4;"B0721";"B 07.21";"Mining of uranium and thorium ores";""
4;"B0729";"B 07.29";"Mining of other non-ferrous metal ores";""
2;"B08";"B 08";"Other mining and quarrying";""
3;"B081";"B 08.1";"Quarrying of stone, sand and clay";""
4;"B0811";"B 08.11";"Quarrying of ornamental stone, limestone, gypsum, slate and other stone";""
4;"B0812";"B 08.12";"Operation of gravel and sand pits and mining of clay and kaolin";""
3;"B089";"B 08.9";"Mining and quarrying n.e.c.";""
4;"B0891";"B 08.91";"Mining of chemical and fertiliser minerals";""
4;"B0892";"B 08.92";"Extraction of peat";""
4;"B0893";"B 08.93";"Extraction of salt";""
